Faction 1	Faction 2	Relationship Type	Modifier/Reaction Score	Canonical Event/Hook	Change Condition	Special Notes	Source
EuroBusiness Machines (EBM)	Orbital Air (OA)	Rivalry (Corporate War)	Hostile (see boardroom & war timeline)	First Corporate War: control of Transworld Air, database attacks, sabotage, proxy fighting	EBM surrender (OA capture of CEO, megacorp/govt pressure)	Rivalry ended only after massive losses and forced peace agreement	 [oai_citation:0‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo) [oai_citation:1‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc) [oai_citation:2‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc) [oai_citation:3‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo)
OA	ARC	Alliance (secret, temporary)	Alliance (strategic)	ARC nearly obliterated by EBM, signs secret pact with OA for survival	Discovery by EBM or ARC profit motive	Alliance dissolves after OA wins, ARC reverts to independence	 [oai_citation:4‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
OA	Zetatech	Alliance (Net, software, tech sharing)	Alliance (operational)	Net/database war, virus/capture program sharing	Heavy EBM counter-action, Zeta pulls out (resource drain)	Temporary; Zeta withdraws, not a long-term alliance	 [oai_citation:5‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
EBM	Drakon Worldwide Fund	Patronage/Alliance	Patron-client (takeover & financing)	Drakon acts as EBM’s financial agent vs. ARC	Emergency truce, OA counter-lobbying	Drakon attempts to acquire ARC, blocked by OA & First Continental	 [oai_citation:6‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
OA	First Continental	Alliance (banking, finance)	Alliance (economic)	OA gains financial ally, blocks Drakon attack on ARC	OA war resource drain, Drakon economic attack	Alliance ends when First Continental resources dry up	 [oai_citation:7‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
EBM	Mamoru-Nakamura Ltd.	Alliance (finance, offshore support)	Financial support	EBM receives major cash infusion to continue war	Market pressure, failed return on investment	Rumored zaibatsu ties, cash influx extends war effort	 [oai_citation:8‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
OA	Applied Technisystem	Alliance (bioenhancement, mercenary)	Operational alliance	OA gains bio-enhanced solos to match EBM operatives	End of war, shift to peacetime	Tied to skirmishes in Europe/Africa, short-lived	 [oai_citation:9‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
OA	Dynamic Media, Inc.	Alliance (media, PR, morale)	PR boost, funding	OA gains media ally seeking news coverage	End of war, loss of PR value	Media coverage increases morale, recruitment	 [oai_citation:10‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
OA	Orbital Metals Partnership	Alliance (industrial, resource)	Operational/resource sharing	OA partners with metals combine in Jamaica, gains material support	End of war/alliance as situation resolves	Short-term; ends with peace	 [oai_citation:11‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
EBM	Local Governments (NA, Africa)	Hostility/Nationalization	Temporary seizure, hostile action	EBM agit-prop triggers nationalization of OA ground assets	Conflict resolution, OA diplomacy, peace negotiations	Temp. government seizure of corporate property, shows power of corp PR	 [oai_citation:12‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
CIA	GRU	Neutral/Adversarial (espionage)	Cool/Competitive	Ongoing intelligence competition, economic and political sabotage, industrial theft	Alliance against common threats (e.g. Triads), major shift in global power	No direct cooperation; only limited collaboration against mutual threats (e.g. Golden Triangle, Taiwan Triad)	 [oai_citation:13‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo) [oai_citation:14‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
CIA	Mossad	Cool Neutrality	Neutral to slight rivalry	Occasional information exchange, mutual suspicion	Specific shared threats (terrorists, Triads)	Minimal trust, usually avoid each other unless compelled by shared interests	 [oai_citation:15‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo) [oai_citation:16‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
CIA	Japanese Zaibatsus	Friendly/Alliance	Operational alliance in certain cases	Joint monitoring/support, shared targets (e.g., Chinese/Soviet rivals)	Political shifts, loss of mutual benefit	Generally positive relationship via zaibatsu mediation	 [oai_citation:17‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo) [oai_citation:18‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
CIA	Chinese Intelligence	Alliance (vs. Triads, Golden Triangle)	Operational alliance (situational)	Shared operations against Triads and Golden Triangle drug lords	Rise of new rival factions, internal politics	Targeting Taiwan as a joint operation in the timeline	 [oai_citation:19‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-4ktmyTTeG6CSDZYc8RHvpo) [oai_citation:20‡cyberpunk-2020-solo-of-fortune.pdf](file-service://file-Lx8HbVEKdwTjHkssfQw8Wc)
NSA, CIA, FBI, DEA ("Gang of Four")	US Government	Usurpation, Patronage, Black Ops	Total dominance, "omnipotence" in US government	Government reform, public exposure, military counter-moves	Operate as a shadow power bloc within US government for years	 [oai_citation:21‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6) [oai_citation:22‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-396ufjwAWXneaSQcDwdVom)
MIC (Military Intelligence Cooperative)	US Intelligence Agencies (NSA, CIA)	Rivalry/Competition	Agency rivalry	Formed to counter duplication/inefficiency of other agencies	Agency mergers, government reorganization	MIC maintains independence despite protests, runs its own ops	 [oai_citation:23‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6) [oai_citation:24‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-396ufjwAWXneaSQcDwdVom)
Petrochem Board	Youngblood Family	Rivalry/Power Struggle	Internal rivalry, boardroom intrigue	Angus Youngblood attempts to oust CEO, replace with brother Malcolm	Removal or loss of CEO, boardroom votes, performance	Angus and Malcolm support each other but may become rivals if ambitions clash	 [oai_citation:25‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR) [oai_citation:26‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-Tig4vSipfVtKGz8j8tkg1r)
Petrochem Board	Rita Redhawk Brodie	Double Agent/Divided Loyalty	Divided, dangerous loyalty	Brodie supports Parker (old guard), pretends to back Trieste/Youngblood	Exposure of duplicity, change in power	May be crushed if caught between factions, high risk position	 [oai_citation:27‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-Tig4vSipfVtKGz8j8tkg1r)